TR,ActivationScore,total_trials,block_num,mean_activation
1,nan,1,1,395.5974
2,-1.0,2,1,395.56277
3,-1.0,3,1,394.05194
4,1.0,4,1,397.50217
5,0.7691253423690796,5,1,397.10388
6,0.7314982414245605,6,1,397.03897
7,0.013807177543640137,7,1,395.80087
8,1.0,8,1,397.61472
9,0.5625851154327393,9,1,396.8355
10,-0.10327637195587158,10,1,395.64935
11,-0.48967409133911133,11,1,394.96103
12,-0.4848087430000305,12,1,394.9697
13,-0.922223649919033,13,1,394.1905
14,-1.0,14,1,392.18616
15,-1.0,15,1,392.02597
16,-0.7598781138658524,16,1,392.69696
17,-1.0,17,1,391.92642
18,-1.0,18,1,390.6537
19,-0.7300996482372284,19,1,391.59308
20,-0.589555412530899,20,1,392.08224
21,-0.531098335981369,21,1,392.2857
22,-0.6952726542949677,22,1,391.7143
23,-0.40547746419906616,23,1,392.72293
24,-0.2002507448196411,24,1,393.43723
25,0.18283724784851074,25,1,394.77057
26,0.04850959777832031,26,1,394.30304
27,0.4402956962585449,27,1,395.66666
28,0.3905453681945801,28,1,395.4935
29,0.18159222602844238,29,1,394.76624
30,0.383083701133728,30,1,395.46753
31,0.6840758323669434,31,1,396.51514
32,0.6853208541870117,32,1,396.51947
33,0.6828395128250122,33,1,396.51083
34,0.919157862663269,34,1,397.33334
35,0.8706438541412354,35,1,397.1645
36,1.0,36,1,397.8095
37,1.0,37,1,398.2251
38,0.9737040996551514,38,1,398.12555
39,1.0,39,1,399.43723
40,1.0,40,1,399.9091
41,1.0,41,1,400.08658
42,0.6980235576629639,42,1,398.66232
43,0.6998611688613892,43,1,398.671
44,0.6236779689788818,44,1,398.31168
45,0.49793756008148193,45,1,397.71863
46,0.578708291053772,46,1,398.09958
47,0.6172528266906738,47,1,398.28137
48,0.47866201400756836,48,1,397.62772
49,0.5419949293136597,49,1,397.92642
50,0.5897210836410522,50,1,398.15152
51,0.48967480659484863,51,1,397.67966
52,0.6576414108276367,52,1,398.47186
53,0.2868257761001587,53,1,396.72293
54,0.6805857419967651,54,1,398.58008
55,0.5631015300750732,55,1,398.02597
56,0.2914198637008667,56,1,396.7446
57,0.21707427501678467,57,1,396.39395
58,0.3951348066329956,58,1,397.23376
59,0.4208354949951172,59,1,397.35498
60,0.5089502334594727,60,1,397.77057
61,0.48599958419799805,61,1,397.66232
62,0.3455711603164673,62,1,397.0
63,0.5006874799728394,63,1,397.7316
64,0.36392784118652344,64,1,397.08658
65,0.27122557163238525,65,1,396.64935
66,0.34190237522125244,66,1,396.9827
67,0.2804006338119507,67,1,396.69263
68,0.334558367729187,68,1,396.94806
69,0.334558367729187,69,1,396.94806
70,0.15649127960205078,70,1,396.10822
71,0.26296281814575195,71,1,396.61038
72,0.34190237522125244,72,1,396.9827
73,0.43919217586517334,73,1,397.44156
74,0.47866201400756836,74,1,397.62772
75,0.022488117218017578,75,1,395.4762
76,0.2042238712310791,76,1,396.33334
77,0.32537686824798584,77,1,396.90475
78,0.30977654457092285,78,1,396.83118
79,0.001374959945678711,79,1,395.37662
80,0.1252843141555786,80,1,395.96103
81,-0.170260488986969,81,1,394.5671
82,-0.2657191753387451,82,1,394.11688
83,-0.17117929458618164,83,1,394.56277
84,-0.23084336519241333,84,1,394.28137
85,0.13721585273742676,85,1,396.0173
86,0.017900586128234863,86,1,395.45456
87,-0.010556578636169434,87,1,395.32034
88,0.036257266998291016,88,1,395.54114
89,-0.022488057613372803,89,1,395.26407
90,0.26846909523010254,90,1,396.63635
91,-0.08948969841003418,91,1,394.94806
92,0.030744433403015137,92,1,395.51514
93,-0.10784637928009033,93,1,394.86148
94,-0.21248668432235718,94,1,394.36795
95,-0.1353846788406372,95,1,394.7316
96,0.07388937473297119,96,1,395.71863
97,-0.08031457662582397,97,1,394.99133
98,0.2179865837097168,98,1,396.39825
99,0.15832889080047607,99,1,396.11688
100,0.00871896743774414,100,1,395.41125
101,-0.18311083316802979,101,1,394.5065
102,-0.14272868633270264,102,1,394.69696
103,-0.22166180610656738,103,1,394.32468
104,-0.2005487084388733,104,1,394.42426
105,-0.1574101448059082,105,1,394.62772
106,-0.1656728982925415,106,1,394.58875
107,-0.35291510820388794,107,1,393.70563
